customer_id,order_id,purchase_date,product_id,product_category,quantity,unit_price,discount,total_order_value
5eb733ae,eb1c8ce8,2024-04-08,book_49,Sci-Fi,3,29.36,0.02,86.32
2051dbf5,4b804f9c,2024-01-27,book_32,Fantasy,1,49.14,0.03,47.67
266277bd,e0ca3013,2024-10-26,book_41,Fantasy,1,37.42,0.27,27.32
a6361195,9a3f891b,2024-10-28,book_30,Fiction,1,49.24,0.26,36.44
731b22fe,3fa27217,2024-09-30,book_24,Sci-Fi,4,39.06,0.27,114.06
f959a373,3eed5994,2024-09-05,book_75,Children,4,38.32,0.21,121.09
f520ced0,720f5729,2024-06-02,book_81,Non-Fiction,2,27.22,0.0,54.44
7e4a49a2,55278aa7,2024-09-04,book_20,Non-Fiction,2,47.45,0.24,72.12
5bd7fb16,d4a264bb,2024-08-13,book_86,Fiction,1,18.48,0.11,16.45
ce5f77a3,f0cb613d,2024-04-29,book_24,Educational,5,45.02,0.16,189.08
f9d38d1c,1f3aaf78,2024-06-13,book_34,Fantasy,3,13.68,0.11,36.53
9186a802,b74ed948,2024-03-22,book_4,Fiction,4,44.33,0.02,173.77
b46cf832,d5b1de36,2024-06-12,book_5,Fantasy,5,10.65,0.24,40.47
0f7aacfc,0086f977,2024-05-05,book_32,Non-Fiction,1,44.21,0.27,32.27
ad68d78a,e106181e,2024-03-27,book_3,Sci-Fi,4,16.09,0.07,59.85
fa11b034,1da928b3,2024-03-04,book_38,Romance,3,14.44,0.21,34.22
c75ba861,09e83296,2024-03-10,book_100,Children,4,8.36,0.28,24.08
ef6b02ab,572ff3ff,2024-01-18,book_50,Romance,1,10.03,0.24,7.62
815698bf,22e73156,2024-03-20,book_71,Romance,2,42.79,0.22,66.75
c4f32349,f835c809,2024-07-17,book_1,Sci-Fi,2,8.74,0.15,14.86
e99231e4,828e2a0a,2024-06-02,book_90,Educational,4,20.09,0.22,62.68
70f63a05,dc2b8819,2024-05-04,book_63,Non-Fiction,3,45.0,0.03,130.95
dd7e6c09,f3ffe194,2024-03-23,book_96,Fiction,3,5.39,0.19,13.1
e4f6be3f,42ac291b,2024-01-18,book_53,Educational,5,30.4,0.21,120.08
8ab56466,982b34ed,2024-06-06,book_91,Non-Fiction,1,22.81,0.28,16.42
f34e3569,0cb7b703,2024-08-26,book_32,Non-Fiction,1,30.64,0.19,24.82
47ed54b8,cb9cb6a7,2024-02-21,book_23,Fantasy,1,11.74,0.15,9.98
71cb8dae,e86c412f,2024-03-29,book_29,Fantasy,3,19.4,0.16,48.89
c2e23446,168041b4,2024-09-02,book_79,Children,3,27.93,0.08,77.09
edd1e82b,62425059,2024-07-22,book_8,Educational,5,28.2,0.16,118.44
1d08ead4,a8b4ad31,2024-07-21,book_50,Fantasy,4,17.12,0.22,53.41
70b33f1c,6008a1d0,2024-10-24,book_76,Non-Fiction,4,9.96,0.22,31.08
0ae1c7d8,22eb1da1,2024-07-04,book_76,Non-Fiction,5,39.87,0.26,147.52
8c442b7e,dabfdccb,2024-05-17,book_89,Educational,3,27.99,0.08,77.25
db9c3d7d,d35b7810,2024-01-11,book_54,Fantasy,5,17.41,0.0,87.05
307f738e,7311a39c,2024-03-06,book_46,Fantasy,2,41.73,0.05,79.29
547d14fc,1a8440dd,2024-10-04,book_82,Educational,1,13.6,0.21,10.74
59ec2b05,49128b6c,2024-04-22,book_9,Non-Fiction,1,41.42,0.14,35.62
3c61d3c1,00040c4c,2024-01-30,book_18,Educational,4,15.59,0.22,48.64
72f5b489,6e41ee36,2024-04-19,book_71,Non-Fiction,3,39.64,0.23,91.57
1ef49955,55654362,2024-05-15,book_27,Fiction,5,17.91,0.29,63.58
42dd3535,37e69e47,2024-04-07,book_95,Sci-Fi,4,8.29,0.12,29.18
e1376c49,a214ac8e,2024-08-20,book_23,Romance,4,40.61,0.03,157.57
ec2e3afc,7e0d1c89,2024-08-18,book_75,Fiction,1,33.99,0.02,33.31
ab483505,b73ac1cf,2024-04-30,book_98,Non-Fiction,2,41.59,0.15,70.7
942b8c22,a5282c2a,2024-05-13,book_31,Romance,2,34.31,0.08,63.13
cc504446,bc9d889f,2024-07-08,book_62,Children,4,30.99,0.17,102.89
77e1a6a2,007ac3a8,2024-10-29,book_81,Educational,3,25.22,0.16,63.55
428ad96f,808e774b,2024-01-18,book_62,Romance,1,10.45,0.14,8.99
c0cf66f3,d9c6875e,2024-08-11,book_51,Educational,4,42.06,0.0,168.24
f46d1fe6,1551839c,2024-04-28,book_90,Sci-Fi,3,33.01,0.16,83.19
ed59b63d,3617ac1f,2024-02-11,book_17,Non-Fiction,3,42.65,0.0,127.95
02bf8f1f,f189c938,2024-09-30,book_85,Sci-Fi,1,41.72,0.23,32.12
b6d9453c,95f0161d,2024-06-20,book_23,Romance,5,47.3,0.14,203.39
0ce3e9af,fd5132b7,2024-08-27,book_57,Non-Fiction,3,15.82,0.12,41.76
d48a8583,c178afec,2024-08-20,book_17,Non-Fiction,5,9.94,0.18,40.75
0e41c66d,2bed6c26,2024-10-24,book_57,Non-Fiction,2,37.89,0.27,55.32
2096cb42,0102b8c0,2024-10-29,book_17,Sci-Fi,4,18.15,0.04,69.7
6dc944f3,f1089d9c,2024-02-07,book_37,Romance,2,38.13,0.06,71.68
6e665b91,d8d6674b,2024-03-18,book_21,Educational,4,41.26,0.05,156.79
6b7bbf2b,07e80aa8,2024-01-23,book_82,Fantasy,3,47.33,0.04,136.31
875bbe2e,80030208,2024-07-18,book_49,Romance,2,45.38,0.01,89.85
d09d5a13,2dc92e82,2024-07-31,book_67,Romance,5,20.15,0.12,88.66
1960b617,699c4c34,2024-03-22,book_83,Non-Fiction,1,16.32,0.03,15.83
df2b9987,d4af5cdd,2024-02-03,book_96,Fantasy,2,13.9,0.29,19.74
5d2fae99,92c38356,2024-05-29,book_80,Romance,2,32.17,0.05,61.12
a88feb26,10e30be1,2024-08-09,book_61,Children,4,21.69,0.14,74.61
f4306056,b1be5ada,2024-05-18,book_3,Sci-Fi,4,28.67,0.08,105.51
156e7550,e93ab7c2,2024-08-29,book_69,Romance,3,21.45,0.04,61.78
b12d3793,a556eeb1,2024-04-27,book_21,Romance,2,26.98,0.18,44.25
19454b0c,f3613b5a,2024-04-26,book_49,Non-Fiction,1,35.71,0.16,30.0
3f44db2c,aec7d608,2024-05-11,book_7,Fantasy,5,33.71,0.05,160.12
3c0fd326,0323b8ba,2024-02-26,book_84,Fantasy,1,22.06,0.28,15.88
9673352e,93f834a6,2024-09-15,book_87,Fantasy,3,33.51,0.06,94.5
b780f9c8,b58b7efe,2024-01-08,book_44,Educational,1,37.42,0.2,29.94
22d51e54,3170b0e4,2024-10-17,book_4,Children,2,12.52,0.19,20.28
2286a6fd,920a79c5,2024-03-23,book_81,Non-Fiction,5,26.22,0.22,102.26
4355b4b0,8e67d75f,2024-02-11,book_14,Fantasy,2,30.77,0.1,55.39
3368ad8a,78a28bf5,2024-08-14,book_96,Sci-Fi,4,13.38,0.21,42.28
a71bdfa9,aadb3058,2024-10-26,book_34,Romance,1,49.97,0.27,36.48
c060f6a0,467e4012,2024-05-12,book_84,Educational,1,39.39,0.16,33.09
590774e8,444ad509,2024-10-14,book_89,Non-Fiction,2,31.93,0.27,46.62
096e47f6,e424d35f,2024-10-05,book_33,Sci-Fi,4,8.98,0.1,32.33
54ddd0d5,9ed1a2d2,2024-08-30,book_81,Fiction,3,42.42,0.22,99.26
d1b9e1b1,e2bb39a1,2024-01-06,book_67,Educational,2,15.41,0.16,25.89
d90934ac,eb3e1afc,2024-05-10,book_68,Romance,5,21.8,0.27,79.57
88966238,fd78938a,2024-09-04,book_86,Romance,4,13.3,0.27,38.84
9cfc7089,89ccabf5,2024-07-31,book_8,Romance,4,12.01,0.05,45.64
4df69529,15664d07,2024-10-04,book_44,Educational,5,36.48,0.29,129.5
71cd3fe6,a8ddf40a,2024-08-03,book_76,Educational,2,28.61,0.1,51.5
ce442ed4,174cc0a2,2024-05-11,book_8,Sci-Fi,5,36.98,0.13,160.86
ebeb4fe3,590e6048,2024-05-09,book_28,Romance,3,47.04,0.16,118.54
be614e34,dec82d58,2024-08-11,book_53,Non-Fiction,1,37.53,0.0,37.53
21f15677,b37c868f,2024-01-16,book_71,Romance,4,31.77,0.04,122.0
e95c35b7,bde1ccc8,2024-01-15,book_1,Romance,5,28.05,0.06,131.83
be9f00b6,2d0a75fb,2024-06-16,book_92,Children,1,35.08,0.05,33.33
52709bb2,b2183e5a,2024-08-22,book_60,Educational,2,33.01,0.05,62.72
0f29ce6f,d8a4804a,2024-02-10,book_48,Sci-Fi,3,30.7,0.08,84.73
250aba72,c13f2611,2024-08-31,book_4,Fiction,3,30.5,0.27,66.8
c0600286,7705544f,2024-02-27,book_23,Children,4,47.7,0.01,188.89
613f43a6,28ad41bb,2024-10-19,book_18,Educational,5,40.41,0.02,198.01
df713bc9,5b48a867,2024-10-13,book_89,Educational,3,7.09,0.02,20.84
e078f687,e98e33f2,2024-07-15,book_95,Romance,3,36.08,0.08,99.58
9ca7dc34,e21f7ea8,2024-05-06,book_58,Children,3,44.34,0.27,97.1
369d5fb2,87e01f8d,2024-01-30,book_28,Romance,4,5.34,0.05,20.29
b741a8ff,002bd812,2024-06-05,book_84,Romance,2,42.8,0.07,79.61
2ffe7d9e,8b00c543,2024-02-13,book_52,Sci-Fi,3,47.48,0.06,133.89
bf2d7523,f007f7c1,2024-07-15,book_46,Sci-Fi,3,37.56,0.18,92.4
9c9d3e01,d6d068ed,2024-04-19,book_64,Fiction,4,26.33,0.09,95.84
45da2e32,8a5a0333,2024-05-27,book_84,Children,5,20.47,0.07,95.19
d500e561,98044e3d,2024-02-20,book_3,Educational,4,38.82,0.26,114.91
7d5237bc,e52a6649,2024-05-07,book_82,Non-Fiction,4,22.73,0.25,68.19
93afa181,53b9e48d,2024-02-06,book_22,Sci-Fi,4,15.61,0.2,49.95
a25d7e54,d616c9a0,2024-05-29,book_61,Children,5,48.02,0.2,192.08
e1fc37c3,860071bb,2024-09-28,book_62,Fiction,2,40.8,0.19,66.1
fd7c7f4b,14191d77,2024-09-06,book_90,Romance,5,19.11,0.17,79.31
71086b5b,88b9e168,2024-02-19,book_8,Children,3,10.06,0.29,21.43
3e85af11,46c4ad48,2024-02-01,book_41,Educational,2,20.55,0.25,30.83
53fed94a,bda31c5a,2024-01-13,book_1,Fiction,4,27.6,0.22,86.11
b0e1dab9,9f27bb17,2024-07-26,book_86,Children,5,6.81,0.08,31.33
60522bd2,1c245f86,2024-08-01,book_62,Fiction,1,29.1,0.24,22.12
50be5dd9,6147b41c,2024-10-18,book_85,Non-Fiction,5,39.96,0.06,187.81
e4b6d3e0,eec7bc45,2024-05-27,book_68,Children,3,22.49,0.06,63.42
daae51d3,9e661fe7,2024-01-11,book_68,Educational,3,28.08,0.28,60.65
7adfed99,440c07ee,2024-03-05,book_89,Romance,5,14.33,0.08,65.92
fb5c0955,4016fd0e,2024-08-19,book_60,Romance,2,35.64,0.29,50.61
11ad801c,6a7f8932,2024-09-08,book_76,Children,4,48.85,0.18,160.23
c64ce075,126931d5,2024-06-21,book_68,Non-Fiction,3,8.69,0.1,23.46
9b054da0,b860286c,2024-03-10,book_90,Fiction,3,48.26,0.24,110.03
0c9798b1,d1ff5d0c,2024-03-15,book_58,Educational,3,47.23,0.1,127.52
0af58874,694dc5b8,2024-03-16,book_70,Non-Fiction,2,46.03,0.08,84.7
a5162b41,ee93b92e,2024-03-10,book_25,Fantasy,2,10.35,0.07,19.25
e9dbfe74,9ae74507,2024-10-28,book_95,Educational,5,30.0,0.18,123.0
ee52ed72,16f17d97,2024-07-19,book_10,Non-Fiction,4,41.38,0.15,140.69
ccff4390,7b215106,2024-02-08,book_93,Fiction,4,31.28,0.12,110.11
9f7b628d,a2cdcae7,2024-03-15,book_40,Children,2,34.86,0.26,51.59
10b5b338,29b527f9,2024-04-27,book_79,Non-Fiction,5,48.88,0.29,173.52
a24af266,bcd2aef9,2024-02-27,book_56,Sci-Fi,5,34.68,0.26,128.32
bbc748da,5d7d467d,2024-01-11,book_58,Children,1,45.65,0.18,37.43
0b573585,04b82506,2024-03-27,book_26,Sci-Fi,1,7.05,0.24,5.36
6e5f7f1d,098329ca,2024-05-07,book_64,Children,1,25.62,0.12,22.55
2bafe211,c0bc85bb,2024-04-24,book_32,Fantasy,5,22.36,0.04,107.33
86b8760f,8183a103,2024-02-26,book_25,Fantasy,4,33.09,0.28,95.3
79af55c2,e8206680,2024-03-14,book_9,Romance,5,43.15,0.18,176.92
55677189,153db33b,2024-07-08,book_2,Fantasy,3,8.33,0.02,24.49
18017542,6b233e7e,2024-09-12,book_60,Fiction,1,32.77,0.18,26.87
1794559b,ed2f21d8,2024-01-31,book_37,Non-Fiction,3,43.41,0.14,112.0
84aea32f,b95af578,2024-02-15,book_3,Fiction,4,35.77,0.08,131.63
18148850,19efd662,2024-06-15,book_14,Non-Fiction,1,37.06,0.02,36.32
9ec1698b,3e30777f,2024-09-24,book_68,Sci-Fi,3,40.3,0.2,96.72
80e034af,99ea509e,2024-06-20,book_48,Fantasy,5,34.04,0.2,136.16
d0e2c1a4,2182cedd,2024-03-17,book_32,Fantasy,4,12.79,0.03,49.63
c6e1abcc,89194c9a,2024-09-03,book_70,Romance,4,34.02,0.0,136.08
3106be62,93b9aa57,2024-04-07,book_14,Non-Fiction,5,48.0,0.13,208.8
07f7dd9d,4643ca15,2024-03-14,book_70,Fiction,4,34.75,0.25,104.25
92635230,0445d8c6,2024-07-06,book_65,Romance,1,48.49,0.05,46.07
769dfad3,7fe0ca71,2024-01-13,book_39,Educational,3,10.79,0.17,26.87
616f84be,ef7d3806,2024-06-18,book_37,Educational,1,34.98,0.1,31.48
e21caa99,bbd6d02c,2024-06-13,book_7,Fantasy,2,15.31,0.19,24.8
929465f6,0cc1a3f2,2024-06-24,book_90,Educational,4,42.49,0.29,120.67
c4f0cece,20b650e5,2024-06-24,book_53,Sci-Fi,4,18.6,0.18,61.01
01471404,0d43f8fd,2024-06-26,book_1,Non-Fiction,3,18.13,0.08,50.04
e66b76ef,f41ec47c,2024-10-06,book_37,Sci-Fi,5,7.8,0.21,30.81
ae24f025,8f222391,2024-08-14,book_53,Fantasy,2,38.74,0.1,69.73
427ff3af,069b75b2,2024-10-27,book_4,Romance,4,28.57,0.26,84.57
7fb2838b,2e996f1a,2024-10-13,book_18,Non-Fiction,5,44.46,0.29,157.83
78f7dbf9,9a479a7e,2024-10-31,book_45,Sci-Fi,1,13.51,0.18,11.08
f83540df,f36706e1,2024-05-29,book_14,Non-Fiction,1,41.21,0.06,38.74
c5188185,988adb3f,2024-01-09,book_73,Fiction,4,26.0,0.26,76.96
a51662b5,6ceb4364,2024-08-11,book_50,Romance,1,41.06,0.21,32.44
bf554923,9deaaf60,2024-10-16,book_27,Educational,4,13.21,0.3,36.99
e7caa74a,8c46829c,2024-04-02,book_73,Children,1,28.53,0.08,26.25
6422b37b,8d00a26b,2024-06-02,book_69,Fiction,3,25.84,0.05,73.64
a064a5a7,0e25210d,2024-01-16,book_65,Children,1,10.59,0.01,10.48
fe661553,cb3328e7,2024-08-13,book_40,Educational,1,13.18,0.1,11.86
8eb3719a,acefdf4c,2024-08-25,book_21,Fantasy,4,36.33,0.1,130.79
165dba1d,16459c26,2024-10-01,book_85,Sci-Fi,1,9.02,0.12,7.94
62c736e5,204f7797,2024-07-08,book_60,Fiction,3,39.54,0.22,92.52
c0965567,4f0fc546,2024-07-05,book_71,Fantasy,4,26.51,0.28,76.35
f017c004,c1336d28,2024-06-04,book_16,Fiction,3,19.54,0.02,57.45
cd33b6e9,37d1ef74,2024-06-13,book_98,Romance,1,41.12,0.28,29.61
f033d708,b9b969fa,2024-06-20,book_52,Educational,4,20.65,0.23,63.6
70b47d3f,8620f0a4,2024-01-13,book_88,Sci-Fi,2,41.05,0.23,63.22
1c401909,78f889b2,2024-02-13,book_100,Educational,2,37.81,0.03,73.35
494129f6,1a12fee1,2024-01-11,book_58,Non-Fiction,3,18.13,0.09,49.49
17b1d97f,0b6144ce,2024-03-02,book_19,Fiction,1,30.99,0.27,22.62
a88892b9,1619961c,2024-10-24,book_62,Sci-Fi,4,42.24,0.23,130.1
1be24d82,07a86c7d,2024-04-30,book_75,Romance,5,7.67,0.17,31.83
c66dee67,856e58ca,2024-03-31,book_70,Fiction,2,12.26,0.03,23.78
44fbed51,3c209152,2024-07-13,book_40,Romance,4,23.96,0.18,78.59
376b4989,07bdcdc3,2024-04-28,book_15,Fiction,3,35.66,0.26,79.17
635f1d9a,11c39e70,2024-05-12,book_50,Educational,4,14.29,0.21,45.16
1822c859,597b6ad7,2024-01-06,book_11,Non-Fiction,4,47.4,0.25,142.2
f81f7c9b,0ac9ca59,2024-02-23,book_44,Educational,3,16.03,0.2,38.47
b0034370,d6bc5da3,2024-07-15,book_14,Sci-Fi,4,28.07,0.14,96.56
5fe44296,d3ff182a,2024-03-02,book_23,Non-Fiction,4,39.36,0.29,111.78
7d1ed930,89e3a179,2024-06-03,book_91,Romance,2,42.72,0.18,70.06
ae437d6d,14539f63,2024-08-07,book_93,Fiction,2,46.82,0.03,90.83
692b285e,5d5d85cd,2024-04-25,book_48,Educational,5,8.68,0.28,31.25
8313458f,366157e9,2024-06-07,book_79,Romance,1,40.33,0.14,34.68
69807065,fbcf7912,2024-06-07,book_38,Fiction,2,21.35,0.13,37.15
3096a11d,956178bd,2024-09-07,book_66,Sci-Fi,1,48.93,0.25,36.7
45978763,b6dbf70a,2024-01-22,book_86,Educational,3,32.27,0.13,84.22
e766b8f0,00992882,2024-09-25,book_25,Educational,5,27.06,0.06,127.18
afc3c490,8d661e22,2024-07-22,book_11,Sci-Fi,2,17.34,0.24,26.36
16a908ba,d10b9bd2,2024-06-08,book_2,Fiction,3,29.47,0.17,73.38
0ac8bc73,8022d801,2024-08-09,book_92,Fantasy,4,7.96,0.07,29.61
31e916be,ae99bea4,2024-07-17,book_27,Non-Fiction,2,20.99,0.12,36.94
f132fc2c,39d38575,2024-01-31,book_26,Fiction,5,8.43,0.14,36.25
86e0c656,88b4db02,2024-06-08,book_55,Fantasy,5,45.39,0.13,197.45
e29c6cd0,6b265399,2024-03-28,book_75,Children,4,6.95,0.02,27.24
f259d76c,3e6911e3,2024-02-24,book_3,Fantasy,5,12.7,0.1,57.15
c0103e83,ff161da6,2024-09-26,book_26,Fiction,4,32.94,0.06,123.85
5e0262b1,d3969673,2024-03-21,book_96,Children,2,8.04,0.17,13.35
4082cca3,158abdb1,2024-03-04,book_44,Educational,3,30.06,0.25,67.63
65e38db4,36cd8856,2024-08-04,book_51,Sci-Fi,5,9.98,0.16,41.92
96da1ab2,3ba92d92,2024-09-07,book_35,Fantasy,1,11.71,0.11,10.42
ac2d7616,5b7f9e03,2024-10-17,book_81,Sci-Fi,4,17.82,0.15,60.59
6ccb3296,d146a8db,2024-10-29,book_60,Educational,2,46.56,0.03,90.33
3c1a64eb,88079322,2024-09-04,book_60,Educational,2,42.83,0.08,78.81
48db1455,d12a74af,2024-04-22,book_12,Children,5,36.64,0.06,172.21
bf6ca68f,2db45fef,2024-03-25,book_31,Non-Fiction,5,9.87,0.22,38.49
2f3bfbbe,4a8fe203,2024-02-05,book_19,Sci-Fi,1,14.62,0.17,12.13
51deffbd,111380c7,2024-01-17,book_42,Sci-Fi,2,41.36,0.21,65.35
71c13ed7,b0383821,2024-07-09,book_56,Fantasy,2,12.18,0.22,19.0
f3b658b0,e872fb05,2024-09-07,book_34,Romance,4,24.3,0.07,90.4
a7d2a6ff,f366820a,2024-01-03,book_56,Non-Fiction,4,23.71,0.21,74.92
48a730f7,b75494c3,2024-07-04,book_49,Non-Fiction,4,32.79,0.12,115.42
00c7462f,af3956ed,2024-03-05,book_55,Children,4,29.44,0.01,116.58
2be1d8b3,cb7839f8,2024-04-21,book_92,Romance,3,28.74,0.12,75.87
cb53ca94,93b969f2,2024-10-03,book_16,Fantasy,5,48.96,0.13,212.98
01cac8e3,b1cf49f2,2024-01-01,book_38,Sci-Fi,4,14.77,0.21,46.67
54e8a770,668b79e6,2024-08-20,book_19,Romance,4,28.73,0.22,89.64
43140bf1,1e7fbd00,2024-10-13,book_64,Children,2,20.89,0.23,32.17
9c22f495,d6c606fc,2024-06-11,book_69,Children,2,13.7,0.27,20.0
60cdbef6,6513c924,2024-01-15,book_50,Fantasy,2,5.84,0.2,9.34
a5b94f57,23e8e38f,2024-07-31,book_14,Fantasy,3,23.48,0.08,64.8
5f62d09f,53a22cfd,2024-01-19,book_48,Non-Fiction,3,10.58,0.11,28.25
49a0efc1,f45f92fa,2024-03-09,book_43,Non-Fiction,2,35.47,0.26,52.5
25083e98,641c104e,2024-03-15,book_35,Non-Fiction,2,26.0,0.04,49.92
e69aa373,f42f6773,2024-07-28,book_85,Fiction,4,46.32,0.23,142.67
8a6e906a,135c9758,2024-09-07,book_70,Educational,3,22.72,0.22,53.16
d76f46aa,6abe4bed,2024-09-29,book_10,Fantasy,1,10.66,0.23,8.21
02717700,41f05604,2024-06-29,book_1,Romance,4,18.76,0.27,54.78
ab1c22c8,82ab9e7a,2024-07-20,book_11,Children,1,8.46,0.13,7.36
d05c810f,1345b35d,2024-07-12,book_55,Educational,5,29.5,0.29,104.72
